Team,WINS,HR,BA,ERA
Anaheim Angels,99,152,0.282,3.69
Baltimore Orioles,67,165,0.246,4.46
Boston Red Sox,93,177,0.277,3.75
Chicago White Sox,81,217,0.268,4.53
Cleveland Indians,74,192,0.249,4.91
Detroit Tigers,55,124,0.248,4.93
Kansas City Royals,62,140,0.256,5.21
Minnesota Twins,94,167,0.272,4.12
New York Yankees,103,223,0.275,3.87
Oakland Athletics,103,205,0.261,3.68
Seattle Mariners,93,152,0.275,4.07
Tampa Bay Devil Rays,55,133,0.253,5.29
Texas Rangers,72,230,0.269,5.15
Toronto Blue Jays,78,187,0.261,4.8
Arizona Diamondbacks,98,165,0.267,3.92
Atlanta Braves,101,164,0.26,3.13
Chicago Cubs,67,200,0.246,4.29
Cincinnati Reds,78,169,0.253,4.27
Colorado Rockies,73,152,0.274,5.2
Florida Marlins,79,146,0.261,4.36
Houston Astros,84,167,0.262,4
Los Angeles Dodgers,92,155,0.264,3.69
Milwaukee Brewers,56,139,0.253,4.73
Montreal Expos,83,162,0.261,3.97
New York Mets,75,160,0.256,3.89
Philadelphia Phillies,80,165,0.259,4.17
Pittsburgh Pirates,72,142,0.244,4.23
St. Louis Cardinales,97,175,0.268,3.7
San Diego Padres,66,136,0.253,4.62
San Francisco Giants,95,198,0.267,3.54
