INN,MARGIN,ROOMS,NEAREST,OFFICE,COLLEGE,INCOME,DISTTWN
1,56,3203,0,549,8,37,12
2,34,2810,2,496,18,39,0
3,49,2890,2,254,20,39,12
4,32,3422,1,434,16,36,3
5,57,2687,3,678,16,32,8
6,49,3759,1,635,19,41,4
7,46,2341,2,580,23,45,7
8,50,3021,3,572,9,33,9
9,46,2655,3,666,22,40,7
10,46,2691,1,519,14,28,9
11,44,3471,2,523,12,35,9
12,30,3567,2,140,14,42,6
13,38,3264,2,404,23,45,4
14,54,3234,1,649,20,35,7
15,35,2730,4,171,17,41,11
16,45,3003,3,402,16,37,5
17,57,2045,3,562,15,36,11
18,39,3591,2,510,19,45,7
19,63,1613,3,686,22,45,11
20,40,2848,2,744,19,44,6
21,41,3098,2,449,12,40,7
22,36,3591,3,270,10,31,10
23,59,2210,2,611,18,39,12
24,54,3285,2,548,24,32,12
25,54,3018,1,529,20,35,7
26,43,3383,2,790,12,41,5
27,58,2382,1,484,12,35,14
28,38,3568,2,365,17,37,11
29,45,2172,3,198,7,39,6
30,43,3003,2,457,20,35,3
31,51,2640,1,431,20,37,7
32,45,2443,4,515,11,38,7
33,48,2429,2,498,20,41,7
34,40,3670,2,240,18,37,5
35,37,3006,2,456,16,37,11
36,54,2484,2,443,16,41,14
37,37,2923,3,449,14,34,7
38,53,2844,1,406,14,44,4
39,39,3159,2,392,11,40,15
40,54,3241,2,578,22,30,10
41,44,2915,3,620,14,38,10
42,52,3069,1,512,21,37,7
43,44,2910,3,418,13,39,13
44,49,2935,0,551,20,39,9
45,36,2962,3,164,13,33,6
46,33,2629,3,359,20,39,8
47,42,3517,1,516,6,36,6
48,50,2859,3,544,15,35,12
49,45,3697,2,236,21,34,6
50,43,2724,3,597,15,32,15
51,39,3330,2,410,14,33,11
52,38,2980,1,427,12,42,8
53,41,2846,1,231,21,43,6
54,49,2825,3,774,13,34,6
55,34,3548,2,449,14,43,7
56,50,2922,2,459,20,42,10
57,50,3255,2,551,23,38,6
58,39,2996,3,359,16,36,6
59,43,2403,3,345,19,42,7
60,53,3013,1,830,20,33,1
61,47,2642,3,450,9,44,10
62,41,3480,2,265,18,43,4
63,51,3227,2,711,11,37,9
64,52,3140,2,433,24,40,11
65,48,2751,1,426,11,38,6
66,41,2676,1,300,25,33,10
67,52,2879,2,747,20,38,12
68,60,2619,1,683,12,43,8
69,52,3354,2,614,27,37,8
70,51,3082,3,637,22,34,4
71,51,2775,2,497,15,35,9
72,44,2813,1,233,15,41,3
73,50,3359,3,473,11,30,12
74,48,3080,2,488,14,31,7
75,54,2756,1,832,15,35,7
76,46,2244,1,496,16,38,9
77,54,2862,1,809,17,33,3
78,44,3198,3,548,17,38,10
79,53,3378,1,815,10,40,7
80,50,2726,3,464,19,38,6
81,43,3597,0,616,16,39,2
82,34,3657,3,372,18,46,11
83,46,2554,2,585,10,42,5
84,43,3838,2,875,10,34,12
85,27,4214,2,358,16,40,9
86,42,2776,2,360,16,43,8
87,49,1998,1,461,19,33,10
88,55,2790,3,645,12,37,6
89,54,2432,1,370,18,39,5
90,32,3124,3,349,17,45,8
91,47,2761,1,485,16,35,8
92,31,3622,2,347,15,40,7
93,49,2826,0,390,17,40,14
94,57,2601,1,520,19,35,4
95,61,2932,3,469,20,35,9
96,53,2772,4,622,15,29,4
97,36,2786,2,511,16,37,6
98,40,3397,3,855,20,42,12
99,40,3823,1,202,17,36,10
100,35,3251,3,275,13,39,11
